Name,Brand,Current Price,Full Price,Category,Color,Size,SKU,GTIN
NIKE REACTX INFINITY RUN 4,Nike,103.97,160,FOOTWEAR,DR2615-002,12,f75d5488-b7b9-5b7a-94e4-b950caccc3b0,00197861749664
NIKE REACTX INFINITY RUN 4,Nike,103.97,160,FOOTWEAR,DR2615-002,12.5,b3845f14-9449-5220-9ea0-df92c561e47b,00197861616249
NIKE REACTX INFINITY RUN 4,Nike,103.97,160,FOOTWEAR,DR2615-002,13,dae021e4-7857-5829-8263-726d641071e2,00197861739573
NIKE REACTX INFINITY RUN 4,Nike,103.97,160,FOOTWEAR,DR2615-002,14,129767bd-8279-502c-b136-db2227ed76f4,00197861687744
NIKE REACTX INFINITY RUN 4,Nike,103.97,160,FOOTWEAR,DR2615-002,15,5afa54c5-9252-5ccb-96b7-53a7bbf78bcc,00197861590006
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,6,ce64be57-064d-5d78-abca-5216d56e2c98,00197859152407
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,6.5,9c89292c-d638-5a6a-bd16-c7b37f97bc56,00197859135264
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,7,e9e94c78-1004-5914-ae16-aea41bc8649f,00197859158348
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,7.5,0ba84521-0546-5e7f-a616-5a511c40dcf6,00197859124503
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,8,fbe43374-d06b-5171-aadf-1228b27a7fbb,00197859126316
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,8.5,9561c2de-3bf0-5f8c-9024-cc40f9b903d8,00197859120116
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,9,a4a44475-59a7-5ec5-b065-cb78e7e94708,00197859122943
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,9.5,33bad66d-6816-53f0-83bd-b57cd31b20df,00197859147311
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,10,78074ce3-4dcf-50fc-8531-1c35415b6000,00197859127214
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,10.5,afdc9fde-901b-510d-b9df-10a47b3e2935,00197859152322
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,11,367e3b26-0a67-5819-b578-4348dc1df9db,00197859129959
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,11.5,a6eb24a4-a2ba-56d9-8647-8303255cc995,00197859149155
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,12,eb5b2e64-0a23-5d1f-9fe1-d3c11cb4426b,00197859148851
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,12.5,3e6f83aa-8887-5910-9e25-a69d8c8254a0,00197859122349
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,13,791f8e50-35ff-5d48-a192-87a2ba4d8bc7,00197859159574
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,14,a88a7ff7-0b4f-5792-a809-eacd3c3c3fee,00197859136612
AIR ZOOM ALPHAFLY NEXT% 3 PRM,Nike,260,260,FOOTWEAR,FQ0904-301,15,262db52a-029b-5129-b220-9af85e7fd4cf,00197859137589
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,6,63eb4e20-f28f-5f0f-a541-d85c67beeabb,00197860211780
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,6.5,5231ca52-26af-57dd-be2d-21e826482b18,00197860203020
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,7,7c0fb319-0c4f-56ba-80f7-e4c73a620ea8,00197860197893
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,7.5,b3d0a1ef-992e-5433-b425-a02d61636dec,00197860223400
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,8,08b990cc-a108-5b05-9eb8-76d1c5318ae1,00197860199972
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,8.5,1daac008-bd38-5c5f-8dc4-459a7b454013,00197860217133
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,9,8f91e798-2960-5dc8-bf7d-52c2c445667a,00197860206410
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,9.5,2f279686-2922-5045-a79b-70ca2f942ee3,00197860216259
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,10,7f4d2807-3caa-5c3b-8a85-f1e01b1dfab2,00197860214316
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,10.5,e010dae9-7d8e-56a0-8d13-02520546d410,00197860200050
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,11,2843f83f-d807-5954-ac2c-35afec7ab754,00197860216730
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,11.5,679bcb7e-1de2-5b18-94f3-16a6a87a02f8,00197860205154
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,12,1197018a-bff4-5490-a6fe-bea00591157d,00197860218123
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,12.5,a995c4f2-45c5-5cc1-a90b-373c7649f9c0,00197860200593
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,13,e155761b-d693-5e92-a21b-ceaf7f2d35a7,00197860214705
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,14,f667554a-a1fd-5b92-887c-e49755628014,00197860225893
NIKE REACTX PEGASUS TRAIL 5,Nike,180,180,FOOTWEAR,HQ1843-400,15,e152b676-7c36-59cc-b805-f3a0e039120d,00197860226746
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,6,d74be765-9e76-501a-be56-d0787cdb6a2e,00666032718964
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,6.5,4e9ed31a-c053-51f6-90af-5e148163889a,00666032718971
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,7,ac284d88-6cea-526f-b365-96752c5450df,00666032718988
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,7.5,884ad5de-7b50-5783-8c4e-105f2b5f761c,00666032718995
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,8,149ecb2b-9564-5d94-8c3b-48b32c8704ef,00666032719008
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,8.5,d787c4a3-2eaa-5cef-9238-95f970ee8fd9,00666032719015
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,9,30e5b982-7330-5e01-b0d6-3185dafe0889,00666032719039
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,9.5,64f94623-f857-58cc-a113-c060a5c80d2d,00666032719046
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,10,87af14af-8eb9-53fe-8469-d83a5f5695fd,00666032719053
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,10.5,fb74d7c3-6121-599f-9b97-fa9822381866,00666032719060
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,11,73973c68-cf50-5a0a-90fc-d542309a55d8,00666032719077
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,11.5,661b93bb-7f3e-582c-8dcd-7914f8df81e8,00666032719084
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,12,78a3853d-c36d-5e7a-b80b-ba74dc7df394,00666032719497
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,12.5,69f5a256-55fb-50ec-86ae-cdae2635c114,00666032720288
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,13,1147e4f1-caec-5ada-b0e2-bb2ccc6778cf,00666032720295
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,14,028ca13f-9315-5e5b-a740-b89e36181981,00666032720301
AIR ZOOM VICTORY 2 ALL,Nike,75,75,FOOTWEAR,HQ3512-100,15,1708ef03-275a-5277-94f8-0e8b6178c0f6,00666032720318
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,6,2829b965-7827-5066-b9d4-ccf07ba84e7e,00197594395404
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,6.5,32b220c7-ef5e-5d09-8f5b-9316cbac275c,00197594397552
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,7,6141c28b-30ee-5a3c-88a1-34ac03819bf0,00197594392052
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,7.5,61ea18b2-7d4d-5c22-93b9-e912c9ccc244,00197594394247
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,8,2c06f718-769d-5458-8560-0aaa2dc59367,00197594394254
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,8.5,a8976536-55a0-5832-abdf-dd9999a694ef,00197594395053
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,9,40fb4096-3fda-53d8-a2f9-25769412bbb9,00197594397347
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,9.5,1e0db85e-37dd-5800-9bfd-a434514a2494,00197594391963
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,10,4f817f4a-3941-571d-818d-da9f60bda8e0,00197594397576
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,10.5,ad8820db-374d-577e-8c1e-9cbff7c627ee,00197594390980
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,11,58358923-3a50-519d-9400-d1c16544f5ed,00197594395220
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,11.5,4252d9de-274e-53e2-b230-b9fc626ba317,00197594393349
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,12,f2528edf-dec1-506b-b4cd-39aaaaaf6f80,00197594398023
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,12.5,0b4035d2-94d9-5443-9882-5f3efafff499,00197594391215
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,13,c2c1890f-f811-5c3d-9742-a7d0028fbef5,00197594395763
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,14,a5092e10-bc30-51b2-842d-d4f0775e0be5,00197594394414
NIKE FREE RN 2018,Nike,160,160,FOOTWEAR,FQ1358-004,15,a7ade876-4b36-5ccb-8a88-20086a55e2a9,00197594390638
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,6,4c51689c-6df3-51e7-bcb9-00d84a398774,00197860762268
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,6.5,85c20b37-7fd5-5e6e-9717-ab3f4cbae3d1,00197860763548
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,7,95967daa-e9a1-5c43-aca8-3d9f2035a65d,00197860761087
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,7.5,baa42b9b-2533-56c0-b1df-7ca8d5975732,00197860762961
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,8,67c1cf45-6459-5b62-ad34-ee58172caa1f,00197860764156
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,8.5,d99043a2-61ad-5fa2-9c63-2a60ed135d16,00197860762282
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,9,fb9a2a6f-b8b0-5591-aae8-a9531bea561a,00197860761391
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,9.5,76558893-08c3-515e-922d-d6e4627ed376,00197860764583
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,10,a97c3d10-c699-51d4-a636-9849f236f295,00197860761476
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,10.5,556d6fcc-92e0-5816-8b02-237ff33e70b2,00197860763142
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,11,c51f5b13-7938-54cb-acf8-1019bd6cb074,00197860763371
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,11.5,244cc7ff-d058-56a5-8a90-d221b1035e38,00197860764194
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,12,e946e897-d73a-59fe-af9f-8e9ac58f0566,00197860763692
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,12.5,b2503f72-06d0-5022-9bfa-f84b1fab1766,00197860763739
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,13,9a541d3a-d7a1-5523-8dc5-7ccf78d780d6,00197860760905
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,14,9d51eb82-7449-5cef-bab2-c9a8eaa1e930,00197860760998
NIKE REACTX INFINITY RUN 4 W,Nike,275,275,FOOTWEAR,HQ3222-276,15,9c64a97d-b76d-5bed-94c6-bf46f939489f,00197860760783
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,6,1937f793-75f5-5b32-bebd-443cd0776212,00197593745927
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,6.5,250c135a-4948-5dc1-8a93-c676c0af347b,00197593686152
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,7,2896a4f4-4bb7-546f-bb82-36a5d9e80d7d,00197593742469
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,7.5,656edd6f-09b1-578e-af62-6629a0049f3e,00197593696113
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,8,0d914026-1bb3-51ae-9d8e-06a425c9b668,00197593739469
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,8.5,11fb41cf-9edc-56b2-8d75-dac0344b0157,00197593721488
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,9,b133759e-9021-5876-b804-4e4e9f7b9ff2,00197593726278
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,9.5,257c5f97-8ab4-5b47-933c-c0a763eb3b19,00197593697479
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,10,f4c8c37d-109f-55a9-af30-3a65c3905c68,00197593679086
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,10.5,ea058f12-4bda-56ea-8e63-7a6eb14c82c9,00197593718921
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,11,cf03c860-2e88-5658-bbb7-1c6a5769a488,00197593723598
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,11.5,d3e9079e-db72-5668-bd1a-b25b2c819419,00197593680044
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,12,f1f3117c-7a57-518e-ab0d-d9225d08fe72,00197593674111
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,12.5,458d8cfe-8843-5734-ab82-43241cf01340,00197593674593
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,13,f3042c47-7500-5e20-b262-82fe3e5e8a49,00197593705686
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,14,046fa494-4d60-51e7-a9a1-8fcf407888ab,00197593743770
AIR ZOOM STRUCTURE 25 WIDE,Nike,55.97,80,FOOTWEAR,FD6454-005,15,2057ea84-0d2f-5705-ae7b-cefd55ff27b0,00197593725059
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,6,4376ff33-3fab-5a9e-bf8b-9c2b3f54132b,00197600664623
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,6.5,1254dffa-5a21-5575-b0ef-992c32ecc396,00197600659988
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,7,be401c61-aeac-5d3b-9c67-9a99690f6b4a,00197600713772
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,7.5,5c33d945-615b-5f8a-82a2-745fef5c0846,00197600675933
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,8,c41f98ae-7a76-5c39-9ef4-66f6abc07724,00197600714908
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,8.5,502f2b93-65dc-5b0d-82eb-75ebf6cd5f52,00197600671928
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,9,566b0739-b37d-53a3-856c-bccac23447ef,00197600714113
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,9.5,f29daf79-7355-57e3-9c1d-a9e1b34a98e2,00197600665187
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,10,e8882f0e-4687-52bc-97d7-411ffc9d9705,00197600664944
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,10.5,286d5c4f-29ca-51ea-b616-4a11928293cc,00197600696556
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,11,c7732a82-2ae6-5f68-9f33-ef55a6fbda03,00197600658745
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,11.5,23f090c8-4d14-5c5e-8629-cac7601820ee,00197600661592
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,12,1317aecf-6ec0-5430-8cb0-718e8052574f,00197600694088
